Month,Count,MAE,RMSE,R2,ME_Bias,Error_STD,P90_Absolute_Error,P95_Absolute_Error
1,744,0.2902741424827753,0.40317534389521625,0.9916282340910522,-0.00965545412092976,0.40305971037892696,0.6686410355815001,0.8474365456785995
2,672,0.29940619532355506,0.40426333199227865,0.9942797392852869,0.00273213218930061,0.4042540996046911,0.6707679013623664,0.8822659929085734
3,744,0.3589462666189619,0.5276562943857882,0.9906083507338629,0.01458380883005515,0.5274547160894003,0.7877719495532769,1.074101208447638
4,720,0.3649717097878699,0.5710750913432864,0.9890033808305043,-0.004857478951899092,0.5710544324764275,0.7691497809236051,1.091944679544058
5,744,0.30168242069330403,0.4273382169070968,0.99223187272007,-0.014523748377404956,0.42709133960126916,0.6923857510862236,0.9105631308942226
6,720,0.29868279429359107,0.42208793608238204,0.986619771179793,0.019099507486731986,0.4216555876542481,0.6473621384596737,0.8626369431904224
7,744,0.28234344627947267,0.4800613614794209,0.9832756199175107,0.0636059080951063,0.4758289600695529,0.6373183335454548,0.9145107025633752
8,744,0.28279913385158595,0.4277199781526988,0.9735590685025052,0.03280146684847291,0.42646036566547857,0.6498445629958861,0.8896833884536142
9,720,0.26221556497068554,0.39599724436591827,0.9862697224428894,-0.011032636049025591,0.39584352778239346,0.6370414971816968,0.8750303554138181
10,744,0.2657521175465931,0.3723620419842288,0.9942232064208292,-0.031695377119056206,0.37101063782585186,0.6203578733995474,0.8301954971493921
11,720,0.3092569322740561,0.4275832538815407,0.9917572998502269,-0.011673806139536357,0.42742386602779053,0.6933266003557789,0.9124328658867724
12,720,0.2984708308395844,0.4052281683931229,0.9921998029600116,-0.021294673604221537,0.404668265787342,0.6395061594068067,0.7929319169067124
