Temperature_Bin,Count,MAE,RMSE,R2,ME_Bias,Error_STD,P90_Absolute_Error,P95_Absolute_Error
<-10,66,0.17285769182165306,0.22754752964667552,0.8019542190370855,0.017580340367562286,0.2268673839071305,0.3855062029184717,0.4402290311351744
-10~0,1016,0.2669545501970876,0.357764032502808,0.9800266546276606,-0.018144210907848266,0.3573036391687073,0.5857169080115959,0.7819812333241003
0~10,2272,0.31394356015929414,0.4534753831640735,0.9732195496390724,-0.005961258564144624,0.4534361989653392,0.6928455969194272,0.943223086917871
10~20,2143,0.3148325696842825,0.4685722364565735,0.9740708169370985,-0.020373196061109773,0.4681291207136879,0.7041617474674468,0.9369173745157497
20~30,2718,0.2759321564253559,0.42973557157118875,0.9757496585163307,0.00510944520212715,0.4297051955042466,0.6223455271094495,0.8518469961964094
30+,521,0.40396308160567806,0.5132252433745553,0.9170517217453196,0.1574024680866769,0.4884921836397122,0.8600094410268468,1.07044517031634
