Model,CV_MAE_Mean,CV_MAE_STD,CV_RMSE_Mean,CV_RMSE_STD,CV_R2_Mean,CV_R2_STD
Random Forest Light,0.3058171905164498,0.011661545397150135,0.44056539252432425,0.011528721800906281,0.9984099629327723,2.3160881819897886e-05
Gradient Boosting Tuned,0.31900822650320015,0.010748327182926275,0.45408677441437506,0.011299035955964055,0.9983107956889724,2.4354965925251457e-05
Linear Regression,0.3731950672323161,0.006734065915598747,0.5159778682892427,0.006417255647271195,0.9978179546822358,5.563241588945467e-05
