Season,Count,MAE,RMSE,R2,ME_Bias,Error_STD,P90_Absolute_Error,P95_Absolute_Error
Autumn,2184,0.2789284677064465,0.39900282154928457,0.9970493526855038,-0.018282966553270334,0.3985837236244127,0.6526063937827097,0.8635067558104026
Spring,2208,0.34161565869909066,0.5115621367146453,0.9940241154810725,-0.0015637227665740933,0.5115597467463237,0.755513962027201,1.0214016496516063
Summer,2208,0.28782504144424514,0.4442904550709453,0.9874730292985272,0.03871319399840126,0.4426006067298031,0.6464670705247577,0.8894035776571556
Winter,2136,0.29591007653048435,0.4042104901939356,0.9932161381746163,-0.009681568366011821,0.40409452807084134,0.6637883179133859,0.8426487104519131
