Model,MAE,RMSE,R2
Random Forest,0.33525584715707596,0.48486005576620894,0.998147671185899
Gradient Boosting,0.35534117170371526,0.501307464723871,0.9980198704206534
Linear Regression,0.3712925616448174,0.5199883340687225,0.9978695444915723
Persistence Baseline,0.6588834229493192,0.8886314996171847,0.99377801906822
